story_key,story_title,epic,story_type,user_story,workflow_use_case,expected_behavior,acceptance_criteria,story_sync,source_confidence,priority,status,linked_qa_tracker_ids,tested_fixtures,tested_specs,test_coverage_notes,notes,last_reviewed
aggregate-view:export-output,[Aggregate] Export Aggregate outputs,Aggregate,Export,"As a MicrobeTrace user, I want to export the Aggregate view outputs in supported formats, so that I can save and share analysis results outside the app.","Configure the Aggregate view as needed, use the supported export actions, and verify the exported files or restored state match the current view.","Aggregate exports supported formats without stale downloads, missing content, or mismatched view state. Session or restore paths preserve the configured state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Aggregate workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,aggregate-view:AG009; aggregate-view:AG018,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; AngularTesting_Epi_linklist_BS.csv,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts; cypress/e2e/journeys/flows/aggregate-export-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Export JSON XLSX CSV zip and PDF; Export with reordered tables and Cluster tables. Source areas: Aggregate Export.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
aggregate-view:filter-refresh-data,[Aggregate] Refresh Aggregate tables after filtering and reclustering,Aggregate,Settings/Controls,"As a MicrobeTrace user, I want to filter and refresh the Aggregate view without stale results, so that I can trust that visible data matches the active analysis controls.","Change the covered filtering, threshold, cluster, or refresh controls and verify the Aggregate view immediately reflects the current visible data.","Aggregate recomputes rendered nodes, links, rows, or summaries from the active filters and clears stale state when the visible data changes.","Given the linked QA tracker scenarios, when the user performs the covered Aggregate workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,aggregate-view:AG014; aggregate-view:AG015,AngularTesting_Epi_linklist_BS.csv; Cypress_FilterMetricNodes.csv; Cypress_FilterMetricLinks.csv,cypress/e2e/journeys/flows/aggregate-controls-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Cluster-based tables refresh after reclustering; Node and link tables track non-cluster filtering changes. Source areas: Aggregate Reactivity.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
aggregate-view:load-supported-data,[Aggregate] Build aggregate summaries from supported datasets,Aggregate,Data Processing,"As a MicrobeTrace user, I want to launch the Aggregate view from supported uploaded datasets, so that I can start analysis without manually preparing intermediate files.","Load the supported file combinations listed in QA evidence, open the Aggregate view, and confirm the rendered state reflects the uploaded data.","Aggregate accepts covered file types, derives or maps required data, and renders a stable view with expected counts, labels, tables, or visual marks for each supported load path.","Given the linked QA tracker scenarios, when the user performs the covered Aggregate workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,aggregate-view:AG001; aggregate-view:AG002; aggregate-view:AG003; aggregate-view:AG004; aggregate-view:AG005; aggregate-view:AG006; aggregate-view:AG021,COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_DistanceMatrix_TN93_BS.xlsx; SARSCoV2_Simulated_Sequences_snp.fas; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_seqs_TN93_BS.nwk; LargeDataSet_Test_sequences_node.csv; Large_Dataset_forTesting_epiLinks.csv,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts; cypress/e2e/journeys/flows/aggregate-large-uploaded.cy.ts,Grouped from 7 QA tracker row(s): Distance edgelist aggregate launch; Distance matrix aggregate launch; FASTA aggregate launch; Node + link launch with uploaded node field aggregation; Sequence node list launch with subtype aggregation; Newick aggregate launch; Load Large dataset aggregate data. Source areas: Load Aggregate.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
aggregate-view:manage-tables,[Aggregate] Manage Aggregate tables and table order,Aggregate,Visualization Behavior,"As a MicrobeTrace user, I want to manage Aggregate tables and table order, so that I can complete the covered analysis workflow reliably.",Exercise the covered Aggregate scenarios and verify the view reaches the expected state.,Aggregate preserves the behavior covered by the linked QA tracker evidence.,"Given the linked QA tracker scenarios, when the user performs the covered Aggregate workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,aggregate-view:AG017,demo session sample dataset; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/view-state/aggregate-view.cy.ts,Grouped from 1 QA tracker row(s): Header sorting behavior. Source areas: Aggregate Table.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
aggregate-view:manage-view-layout,[Aggregate] Manage Aggregate layout and navigation state,Aggregate,Visualization Behavior,"As a MicrobeTrace user, I want to use the Aggregate view within the app layout, so that I can navigate, resize, and restore the view without losing context.","Open, close, resize, switch, or restore the Aggregate view through the covered layout paths and verify the view remains usable.","Aggregate remains stable through layout, dashboard, navigation, and hidden-pane lifecycle changes.","Given the linked QA tracker scenarios, when the user performs the covered Aggregate workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,aggregate-view:AG020,demo session sample dataset,cypress/e2e/view-state/aggregate-view.cy.ts,Grouped from 1 QA tracker row(s): Hide/show and resize resilience. Source areas: Aggregate Layout.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
aggregate-view:timeline,[Aggregate] Explore time-based changes in Aggregate,Aggregate,Settings/Controls,"As a MicrobeTrace user, I want to inspect time-based changes in the Aggregate view, so that I can understand how the visible data changes over time.","Apply timeline controls to the covered datasets, play or scrub checkpoints, and verify the Aggregate view updates only the intended target state.","Aggregate keeps timeline membership, colors, and non-target view behavior consistent with the covered checkpoint expectations.","Given the linked QA tracker scenarios, when the user performs the covered Aggregate workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,aggregate-view:AG022,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/timeline-non-target-view-isolation-uploaded.cy.ts,Grouped from 1 QA tracker row(s): Timeline isolation for Aggregate node and link datasets. Source areas: Timeline.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
crosstab-view:configure-controls,"[Crosstab] Configure axes, pivoting, proportions, and table size",Crosstab,Settings/Controls,"As a MicrobeTrace user, I want to configure the Crosstab view controls, so that I can adjust the analysis view and immediately see the correct result.",Use the covered controls for the Crosstab view and verify each setting updates the rendered view or session state without corrupting data membership.,"Crosstab control changes are reflected in the rendered view, maintain stable membership, and preserve documented control state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Crosstab workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,crosstab-view:CT007; crosstab-view:CT008; crosstab-view:CT009; crosstab-view:CT010; crosstab-view:CT016; crosstab-view:CT017; crosstab-view:CT020,demo session sample dataset,cypress/e2e/view-state/crosstab-view.cy.ts,Grouped from 7 QA tracker row(s): X and Y axis selection; Pivot; Counts vs proportion; Table size; Default widget state on first open; None-axis title branches; Pivot while proportion is active. Source areas: Crosstab Settings.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
crosstab-view:export-and-restore,[Crosstab] Export and restore Crosstab outputs and state,Crosstab,Export,"As a MicrobeTrace user, I want to export the Crosstab view outputs in supported formats, so that I can save and share analysis results outside the app.","Configure the Crosstab view as needed, use the supported export actions, and verify the exported files or restored state match the current view.","Crosstab exports supported formats without stale downloads, missing content, or mismatched view state. Session or restore paths preserve the configured state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Crosstab workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,crosstab-view:CT011; crosstab-view:CT012; crosstab-view:CT013; crosstab-view:CT014; crosstab-view:CT021; crosstab-view:CT022; crosstab-view:CT023; crosstab-view:CT024; crosstab-view:CT025; crosstab-view:CT027,demo session sample dataset; demo session sample dataset + synthetic cypress_null_category field,cypress/e2e/view-state/crosstab-export.cy.ts; cypress/e2e/view-state/crosstab-view.cy.ts,Grouped from 10 QA tracker row(s): Export CSV; Export JSON; Export XLSX; PDF export dialog behavior; JSON export null handling and current-column shape; CSV export content fidelity; XLSX export content fidelity; Style or session restore of Crosstab widget state; plus 2 additional covered scenarios. Source areas: Export And Persistence.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
crosstab-view:filter-refresh-data,[Crosstab] Keep Crosstab synchronized with filtering changes,Crosstab,Settings/Controls,"As a MicrobeTrace user, I want to filter and refresh the Crosstab view without stale results, so that I can trust that visible data matches the active analysis controls.","Change the covered filtering, threshold, cluster, or refresh controls and verify the Crosstab view immediately reflects the current visible data.","Crosstab recomputes rendered nodes, links, rows, or summaries from the active filters and clears stale state when the visible data changes.","Given the linked QA tracker scenarios, when the user performs the covered Crosstab workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,crosstab-view:CT018; crosstab-view:CT019,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; demo session sample dataset,cypress/e2e/journeys/flows/crosstab-refresh-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Filtering refresh while Crosstab is active; Cluster-update reactivity when grouped by cluster. Source areas: Crosstab Refresh.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
crosstab-view:handle-empty-data,[Crosstab] Handle empty or incomplete Crosstab data,Crosstab,Data Processing,"As a MicrobeTrace user, I want to handle empty or incomplete data in the Crosstab view, so that I can recover from missing data without a broken view.","Open the Crosstab view with empty, filtered, or incomplete data and verify the app shows a coherent empty or recovery state.","Crosstab presents clear empty-state behavior and avoids stale rendered data when no valid rows, nodes, links, or fields are available.","Given the linked QA tracker scenarios, when the user performs the covered Crosstab workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,crosstab-view:CT026,demo session sample dataset,cypress/e2e/view-state/crosstab-view.cy.ts,Grouped from 1 QA tracker row(s): No visible nodes after filtering. Source areas: Crosstab Empty State.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
crosstab-view:load-supported-data,[Crosstab] Build crosstab tables from supported datasets,Crosstab,Data Processing,"As a MicrobeTrace user, I want to launch the Crosstab view from supported uploaded datasets, so that I can start analysis without manually preparing intermediate files.","Load the supported file combinations listed in QA evidence, open the Crosstab view, and confirm the rendered state reflects the uploaded data.","Crosstab accepts covered file types, derives or maps required data, and renders a stable view with expected counts, labels, tables, or visual marks for each supported load path.","Given the linked QA tracker scenarios, when the user performs the covered Crosstab workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,crosstab-view:CT001; crosstab-view:CT002; crosstab-view:CT003; crosstab-view:CT004; crosstab-view:CT005; crosstab-view:CT006; crosstab-view:CT015,COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_DistanceMatrix_TN93_BS.xlsx; SARSCoV2_Simulated_Sequences_snp.fas; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_seqs_TN93_BS.nwk,cypress/e2e/journeys/flows/crosstab-file-types.cy.ts; cypress/e2e/journeys/flows/upload-launch-crosstab.cy.ts,Grouped from 7 QA tracker row(s): Load Distance edgelist data; Load Distance matrix data; Load FASTA data; Load Node list + link list data; Load Sequence node list data; Load Newick data; Direct file launch to Crosstab default view. Source areas: Load Crosstab.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
crosstab-view:timeline,[Crosstab] Explore time-based changes in Crosstab,Crosstab,Settings/Controls,"As a MicrobeTrace user, I want to inspect time-based changes in the Crosstab view, so that I can understand how the visible data changes over time.","Apply timeline controls to the covered datasets, play or scrub checkpoints, and verify the Crosstab view updates only the intended target state.","Crosstab keeps timeline membership, colors, and non-target view behavior consistent with the covered checkpoint expectations.","Given the linked QA tracker scenarios, when the user performs the covered Crosstab workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,crosstab-view:CT028,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/timeline-non-target-view-isolation-uploaded.cy.ts,Grouped from 1 QA tracker row(s): Timeline isolation for Crosstab dataset. Source areas: Timeline.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:alignment-integration,[Alignment] Use sequence-backed datasets in the alignment view,Alignment View,Visualization Behavior,"As a MicrobeTrace user, I want to map and render data fields in the sequence alignment view, so that I can inspect the right labels, ranges, and derived values for my dataset.","Configure the covered data-field, label, sizing, or rendering options and verify the sequence alignment view displays the expected data.","Alignment maps covered data fields into the rendered view accurately and keeps labels, dimensions, and derived values synchronized with the selected options.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P3,Draft,alignment-view:A034,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/alignment-interactions-uploaded.cy.ts,Grouped from 1 QA tracker row(s): Selected-row highlight sync. Source areas: Alignment Integration.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:alignment-labels-and-order,[Alignment] Configure sequence labels and ordering,Alignment View,Settings/Controls,"As a MicrobeTrace user, I want to map and render data fields in the sequence alignment view, so that I can inspect the right labels, ranges, and derived values for my dataset.","Configure the covered data-field, label, sizing, or rendering options and verify the sequence alignment view displays the expected data.","Alignment maps covered data fields into the rendered view accurately and keeps labels, dimensions, and derived values synchronized with the selected options.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,alignment-view:A023; alignment-view:A024,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-settings-advanced-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Label-field change; Sort-by change. Source areas: Alignment Labels and Order.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:alignment-sizing,[Alignment] Size and window the alignment canvas,Alignment View,Settings/Controls,"As a MicrobeTrace user, I want to map and render data fields in the sequence alignment view, so that I can inspect the right labels, ranges, and derived values for my dataset.","Configure the covered data-field, label, sizing, or rendering options and verify the sequence alignment view displays the expected data.","Alignment maps covered data fields into the rendered view accurately and keeps labels, dimensions, and derived values synchronized with the selected options.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,alignment-view:A025; alignment-view:A026,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-appearance-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Size presets small medium large; Custom height and width. Source areas: Alignment Sizing.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:configure-controls,[Alignment] Configure sequence display controls,Alignment View,Settings/Controls,"As a MicrobeTrace user, I want to configure the sequence alignment view controls, so that I can adjust the analysis view and immediately see the correct result.",Use the covered controls for the sequence alignment view and verify each setting updates the rendered view or session state without corrupting data membership.,"Alignment control changes are reflected in the rendered view, maintain stable membership, and preserve documented control state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,alignment-view:A005; alignment-view:A006,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/alignment-controls-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Toggle Mini-map visibility; Top display Bar Plot -> Logo. Source areas: Alignment Settings.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:export-output,[Alignment] Export aligned sequences and rendered images,Alignment View,Export,"As a MicrobeTrace user, I want to export the sequence alignment view outputs in supported formats, so that I can save and share analysis results outside the app.","Configure the sequence alignment view as needed, use the supported export actions, and verify the exported files or restored state match the current view.","Alignment exports supported formats without stale downloads, missing content, or mismatched view state. Session or restore paths preserve the configured state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,alignment-view:A007; alignment-view:A008; alignment-view:A009; alignment-view:A012; alignment-view:A030; alignment-view:A031; alignment-view:A032; alignment-view:A033; alignment-view:A037; alignment-view:A038,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-export-uploaded.cy.ts,Grouped from 10 QA tracker row(s): Alignment image export to SVG; Alignment data export to FASTA; Alignment data-table export to CSV; Amino-acid mode export content; Alignment image export to PNG; Alignment data export to MEGA; Consensus option on FASTA and MEGA exports; Export Consensus option on DataTable CSV; plus 2 additional covered scenarios. Source areas: Export.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:interact-with-view,[Alignment] Navigate and inspect sequence positions,Alignment View,Visualization Behavior,"As a MicrobeTrace user, I want to interact with the sequence alignment view data directly, so that I can inspect, select, and drill into the data shown in the view.","Select, hover, pan, zoom, expand, or otherwise interact with the rendered data in the sequence alignment view and verify the app updates the expected detail state.","Alignment interactions expose correct tooltips, selections, drilldowns, and synchronized state without leaking stale selections or rows.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,alignment-view:A011; alignment-view:A020; alignment-view:A021; alignment-view:A022; alignment-view:A036,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-interactions-uploaded.cy.ts,Grouped from 5 QA tracker row(s): Global search row highlight and autoscroll; Mini-map navigation click and highlight; Position tooltip on top hover; Canvas and label scroll sync; Amino-acid tooltip content. Source areas: Alignment Interaction.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:load-supported-data,[Alignment] Launch from supported sequence datasets,Alignment View,Data Processing,"As a MicrobeTrace user, I want to launch the sequence alignment view from supported uploaded datasets, so that I can start analysis without manually preparing intermediate files.","Load the supported file combinations listed in QA evidence, open the sequence alignment view, and confirm the rendered state reflects the uploaded data.","Alignment accepts covered file types, derives or maps required data, and renders a stable view with expected counts, labels, tables, or visual marks for each supported load path.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,alignment-view:A001; alignment-view:A002; alignment-view:A003; alignment-view:A010; alignment-view:A013,AngularTesting_seqs_TN93_BS.fasta; AngularTesting_nodelist_withseqs_TN93_BS.csv; COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_DistanceMatrix_TN93_BS.xlsx; AngularTesting_seqs_TN93_BS.nwk,cypress/e2e/journeys/flows/upload-launch-alignment.cy.ts; cypress/e2e/journeys/flows/alignment-direct-launch-uploaded.cy.ts; cypress/e2e/journeys/flows/alignment-unsupported-inputs.cy.ts,Grouped from 5 QA tracker row(s): FASTA launch then switch to Alignment; Sequence node list launch then switch to Alignment; Node + link launch with excluded missing-sequence nodes; Direct file launch to Alignment default view; Graceful handling for non-sequence file types. Source areas: Load Alignment.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:manage-view-layout,"[Alignment] Show, scroll, and size the alignment canvas",Alignment View,Visualization Behavior,"As a MicrobeTrace user, I want to use the sequence alignment view within the app layout, so that I can navigate, resize, and restore the view without losing context.","Open, close, resize, switch, or restore the sequence alignment view through the covered layout paths and verify the view remains usable.","Alignment remains stable through layout, dashboard, navigation, and hidden-pane lifecycle changes.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,alignment-view:A018; alignment-view:A019; alignment-view:A035,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-settings-advanced-uploaded.cy.ts; cypress/e2e/journeys/flows/alignment-controls-uploaded.cy.ts,Grouped from 3 QA tracker row(s): Ruler minor interval control; Show Characters modes; Amino-acid top display logo branch. Source areas: Alignment Layout.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:map-render-data,"[Alignment] Map sequence labels, sort order, and display modes",Alignment View,Data Processing,"As a MicrobeTrace user, I want to map and render data fields in the sequence alignment view, so that I can inspect the right labels, ranges, and derived values for my dataset.","Configure the covered data-field, label, sizing, or rendering options and verify the sequence alignment view displays the expected data.","Alignment maps covered data fields into the rendered view accurately and keeps labels, dimensions, and derived values synchronized with the selected options.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,alignment-view:A004; alignment-view:A014; alignment-view:A015; alignment-view:A016; alignment-view:A017,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/upload-launch-alignment.cy.ts; cypress/e2e/journeys/flows/alignment-data-uploaded.cy.ts,Grouped from 5 QA tracker row(s): Excluded nodes dialog; Start and end position windowing; Sequence type switch to Codons; Sequence type switch to Amino Acids; Amino-acid translation settings. Source areas: Alignment Data.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
alignment-view:style-rendering,[Alignment] Style nucleotide and amino-acid colors,Alignment View,Settings/Controls,"As a MicrobeTrace user, I want to style the sequence alignment view from uploaded data and controls, so that I can visually distinguish data categories and preserve presentation choices.","Apply style files, color mappings, or styling controls to covered datasets and verify the sequence alignment view reflects the selected visual encoding.","Alignment applies covered colors, labels, sizes, shapes, and style-table edits consistently through filtering, grouping, timeline, and restore paths where applicable.","Given the linked QA tracker scenarios, when the user performs the covered Alignment workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,alignment-view:A027; alignment-view:A028; alignment-view:A029,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-appearance-uploaded.cy.ts,Grouped from 3 QA tracker row(s): Alternative nucleotide color scheme; Custom nucleotide color scheme; Amino-acid color palette behavior. Source areas: Alignment Colors.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
